,,,NH3 Energy,Benzene Ring Energy ,,,,NH3 Energy,Benzene Ring Energy ,
Normal,,,-56.81587686,-231.8121052,,,,-232.3308488,-56.92328634,
,,,,,,,DFT,,,
Distance,Complex Energy,Interaction Energy,Energy in Kcal/mol,,,Distance,Complex Energy,Interaction Energy,Energy in Kcal/mol,
1.2,-287.1604786,1.467503493,920.8584421,,,-5,-288.9086337,0.345501438,216.8021523,
1.4,-287.7245598,0.9034222211,566.8974437,,,-4,-289.1064569,0.1476782021,92.66807181,
1.6,-288.103638,0.5243440914,329.0259174,,,-3,-289.2081977,0.0459374468,28.82574787,
1.8,-288.344926,0.2830560849,177.6176933,,,-2,-289.2557541,-0.00161892401,-1.015874816,
2,-288.4924062,0.135575831,85.07383395,,,-1,-289.2749267,-0.02079156433,-13.04670661,
2.2,-288.5784489,0.04953320274,31.08208472,,,0,-289.2803157,-0.02618052216,-16.42827765,
2.4,-288.6255021,0.002480006521,1.556204092,,,1,-289.2796293,-0.02549413398,-15.99756907,
2.6,-288.6488671,-0.02088501983,-13.10534994,,,2,-289.276739,-0.02260387948,-14.18393437,
2.8,-288.6583637,-0.030381625,-19.06446969,,,3,-289.2734066,-0.01927142374,-12.0928184,
3,-288.6604993,-0.032517221,-20.40455618,,,4,-289.270324,-0.01618882768,-10.15848937,
3.25,-288.6586103,-0.03062824293,-19.21922244,,,5,-289.2677004,-0.01356528429,-8.512215889,
3.5,-288.6546654,-0.02668337573,-16.74381827,,,6,-289.2655471,-0.01141197201,-7.161012439,
3.75,-288.6504327,-0.02245066223,-14.08779055,,,7,-289.2638065,-0.009671324994,-6.068756434,
4,-288.64663066,-0.01864860,-11.70199764,,,8,-289.2624012,-0.008266076958,-5.186963291,
4.25,-288.6434873,-0.01550520801,-9.729518026,,,,,,,
4.5,-288.6408985,-0.01291643059,-8.105060192,,,,,,,
4.75,-288.6388196,-0.01083758346,-6.800583622,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Aromatic System,NH3 Energy,,DFT,,Aromatic System,NH3 Energy,
Nitrobenzene(CCSD),,,-436.0631324,-56.81587686,,,,-436.91758,-56.92328634,
Distance,Complex Energy,Interaction Energy,Energy in Kcal/mol,,,Distance,Complex Energy,Interaction Energy,Energy in Kcal/mol,
2.2,-492.808,0.07100924806,44.55830316,,,-5,-493.4676476,0.3732187808,234.194785,
2.4,-492.8568486,0.02216069879,13.90583849,,,-4,-493.6685583,0.1723080352,108.1232921,
2.6,-492.881701,-0.002691774118,-1.689088259,,,-3,-493.7723605,0.06850587365,42.98743572,
2.8,-492.892567,-0.01355775165,-8.507489162,,,-2,-493.8219409,0.01892539034,11.87568244,
3,-492.8960022,-0.01699295741,-10.66308077,,,-1,-493.8428764,-0.002010072373,-1.261320414,
3.25,-492.895781234846,-0.016771974846,-10.52441422,,,0,-493.8500706,-0.009204254627,-5.775669778,
3.5,-492.8933305,-0.01432125186,-8.986585541,,,1,-493.8511386,-0.01027228493,-6.445858792,
3.75,-492.8904732,-0.01146394714,-7.193626828,,,2,-493.8499123,-0.009045942284,-5.676328783,
4,-492.8879016,-0.008892295657,-5.579915525,,,3,-493.8481067,-0.007240382107,-4.543339772,
4.25,-492.8858026,-0.006793371832,-4.262840825,,,4,-493.8463921,-0.005525752405,-3.467409634,
4.5,-492.8841646,-0.0051553312,-3.234970328,,,5,-493.8449659,-0.004099550555,-2.572467973,
4.75,-492.8829271,-0.003917829853,-2.458438233,,,6,-493.8438669,-0.003000518014,-1.882825054,
5,-492.8820077,-0.002998404228,-1.881498653,,,7,-493.8430717,-0.002205355573,-1.383860622,
,,,,,,,-492.8953547,-0.01554028504,-9.751528864,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Aromatic System,NH3,,,,Aromatic System,NH3,
Methyl Benzene CCSD,,,-271.0622557,-56.81587686,DFT,,,-271.6666063,-56.92328634,
Distance,Complex Energy,Interaction Energy,Energy in Kcal/mol,,Distance,Complex Energy,Interaction Energy,Energy in Kcal/mol,,
2.2,-327.8333815,0.04475106307,28.08129208,,-5,-328.2533193,0.3365733117,211.1997531,,
2.4,-327.8796086,-0.001476071833,-0.9262350752,,-4,-328.4483625,0.1415301906,88.81019457,,
2.6,-327.9022976,-0.02416504709,-15.16356705,,-3,-328.5484975,0.04139520707,25.97549243,,
2.8,-327.9114399,-0.03330733618,-20.90035345,,-2,-328.5951517,-0.005259018242,-3.300033947,,
3,-327.9129983,-0.0348657,-21.87824902,,-1,-328.6135409,-0.02364821232,-14.83925323,,
3.25,-327.91071936,-0.03258680,-20.44821605,,0,-328.6183686,-0.02847595669,-17.86866283,,
3.5,-327.9063893,-0.02825672061,-17.73109218,,1,-328.6172778,-0.02738511559,-17.18416003,,
3.75,-327.9018812,-0.02374861135,-14.90225362,,2,-328.6140532,-0.02416057192,-15.16075888,,
4,-327.8978549,-0.01972234369,-12.37577067,,3,-328.6104256,-0.02053293008,-12.88441362,,
4.25,-327.894502,-0.01636943359,-10.27181958,,4,-328.607131,-0.01723829988,-10.81703318,,
4.5,-327.8917548,-0.01362225982,-8.547968037,,5,-328.6043195,-0.01442686772,-9.052859494,,
4.75,-327.8895577,-0.01142512191,-7.169263996,,6,-328.6020189,-0.01212623764,-7.609214122,,
5,-327.8877957,-0.009663145496,-6.063623799,,7,-328.6001668,-0.01027417416,-6.447044288,,
,,,,,8,-328.5986668,-0.008774157343,-5.505783733,,
,,,,,9,-328.597446,-0.007553368811,-4.739738929,,
,,,,,,-0.0344857024,-0.0344857024,-21.63977825,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Aromatic System,NH3,,,,Aromatic System,NH3,,
DFT Trimethyl,,-350.3275133,-56.92328634,,CCSD,,-349.5513888,-56.81587686,,
Distance,Complex Energy,Interaction Energy,Energy in Kcal/mol,,Distance,Complex Energy,Interaction Energy,Energy in Kcal/mol,,
-5,-406.9261765,0.324623108,203.7010002,,2,-406.2479895,0.1192762072,74.84582004,,
-4,-407.1189218,0.1318778064,82.75332353,,2.2,-406.330669,0.0365966647,22.9644071,,
-3,-407.2165733,0.03422627619,21.47698831,,2.4,-406.3750393,-0.00777357615,-4.877919034,,
-2,-407.260955,-0.01015542404,-6.372528588,,2.6,-406.3961208,-0.02885510618,-18.10657913,,
-1,-407.2776379,-0.02683827011,-16.8410145,,2.8,-406.4038129,-0.03654718373,-22.93335779,,
0,-407.2811637,-0.03036413276,-19.05349331,,3,-406.4046085,-0.03734282639,-23.43262356,,
1,-407.2791229,-0.02832325068,-17.7728398,,3.2,-406.402167,-0.03490126421,-21.90054329,,
2,-407.2752642,-0.02446457538,-15.35152105,,3.4,-406.398341,-0.03107530809,-19.49975583,,
3,-407.2712481,-0.02044845531,-12.83140571,,3.6,-406.3942291,-0.02696342035,-16.91954627,,
4,-407.2676832,-0.0168835806,-10.59444682,,3.8,-406.3904018,-0.02313614085,-14.51792838,,
